id,title,tagline,release_date,genres,belongs_to_collection,original_language,budget_musd,revenue_musd,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path,cast,cast_size,director,crew_size
597,Titanic,Nothing on Earth could come between them.,1997-11-18,Drama,,en,200.0,2264.162353,Paramount Pictures|20th Century Fox|Lightstorm Entertainment,United States of America,25906,7.906,49.1281,194,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",English|French|German|Swedish|Italian|Russian,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,Leonardo DiCaprio|Kate Winslet|Billy Zane|Kathy Bates|Frances Fisher,116,James Cameron,258
12445,Harry Potter and the Deathly Hallows: Part 2,It all ends.,2011-07-12,Fantasy,Harry Potter Collection,en,125.0,1341.511219,Warner Bros. Pictures|Heyday Films,United Kingdom|United States of America,20966,8.087,23.3456,130,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",English,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,Daniel Radcliffe|Emma Watson|Rupert Grint|Ralph Fiennes|Alan Rickman,104,David Yates,154
19995,Avatar,Enter the world of Pandora.,2009-12-15,Action,Avatar Collection,en,237.0,2923.706026,Dune Entertainment|Lightstorm Entertainment|20th Century Fox|Ingenious Media,United States of America|United Kingdom,32158,7.588,31.6851,162,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",English|Spanish,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Michelle Rodriguez,65,James Cameron,986
24428,The Avengers,Some assembly required.,2012-04-25,Science Fiction,The Avengers Collection,en,220.0,1518.815515,Marvel Studios,United States of America,31607,7.739,46.7321,143,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",English|Hindi|Russian,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson,112,Joss Whedon,631
99861,Avengers: Age of Ultron,A new age has come.,2015-04-22,Action,The Avengers Collection,en,365.0,1405.403694,Marvel Studios,United States of America,23368,7.271,23.6961,141,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",English,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,72,Joss Whedon,636
109445,Frozen,Only the act of true love will thaw a frozen heart.,2013-11-20,Animation,Frozen Collection,en,150.0,1274.219009,Walt Disney Pictures|Walt Disney Animation Studios,United States of America,16807,7.2,23.6874,102,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",English,/m4uhSpErBKprhsclr0zynTYdupb.jpg,Kristen Bell|Idina Menzel|Jonathan Groff|Josh Gad|Livvy Stubenrauch,60,Chris Buck,284
135397,Jurassic World,The park is open.,2015-06-06,Action,Jurassic Park Collection,en,150.0,1671.537444,Amblin Entertainment|Universal Pictures,United States of America,20649,6.693,22.7116,124,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",English,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Ty Simpkins,52,Colin Trevorrow,423
140607,Star Wars: The Force Awakens,Every generation has a story.,2015-12-15,Adventure,Star Wars Collection,en,245.0,2068.223624,Lucasfilm Ltd.|Bad Robot,United States of America,19689,7.261,17.8913,136,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",English,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,182,J.J. Abrams,257
168259,Furious 7,Vengeance hits home.,2015-04-01,Action,The Fast and the Furious Collection,en,190.0,1515.4,Original Film|One Race|Universal Pictures,United States of America,10773,7.2,17.9157,137,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Arabic|English|Spanish|Thai,/wurKlC3VKUgcfsn0K51MJYEleS2.jpg,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Jordana Brewster,48,James Wan,222
181808,Star Wars: The Last Jedi,Darkness rises...and light to meet it.,2017-12-13,Adventure,Star Wars Collection,en,200.0,1332.69883,Lucasfilm Ltd.,United States of America,15550,6.779,20.9143,152,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",English,/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley|John Boyega,110,Rian Johnson,213
